Habitat	IJSEM year	article doi	16S rDNA accession number	DNA GC content (mol%)	oxygen preference	mean length (microns)	mean width (microns)	motility	spore production	Metabolism assays	Genus name	species name	strain name	pH optimum for growth	pH range at which growth occurred	temperature optimum for growth (degC)	temperature range at which growth occurred (degC)	optimal NaCl concentration for growth (%)	NaCl concentration range at which growth occurred (%)	pigment production	cell shape	cell aggregation	article first page	culture collection codes	Sole carbon substrate use	genome accession number	gram status	"If 'other' was chosen above, please enter a habitat below"	The paper included Biolog results
other	2012	10.1099/ijs.0.034389-0	FR851926	Not indicated	aerobic	2	1	non-motile	no	"catalase positive, oxidase positive"	Camelimonas	Abortus	UK34/07-5	Not indicated	Not indicated	Not indicated	25-30	Not indicated	Not indicated	yes	rod	not indicated	1117	CIP=110303|CCUG=61094|DSM=24741|CCM=7941	"3-hydroxybutyrate, acetate, adipate, aspartic acid (aspartate), glucose, propionic acid (propionate), suberic acid, trehalose"		negative	Placental tissue of cow	No
soil	2013	10.1099/ijs.0.038620-0	FR851927	64.8	anaerobic	4	0.75	flagella	not indicated		Rhodopseudomonas	pentothenatexigens	JA575	7.5	06-Aug	37.5	25-50	0		yes	rod	not indicated	200	NBRC108862|KCTC15143	"aspartic acid (aspartate), pyruvic acid (pyruvate), valerate"		NA		Yes
soil	2013	10.1099/ijs.0.038620-0	FR851928	66.2	anaerobic	3.5	0.9	flagella	not indicated		Rhodopseudomonas	thermotolerans	JA576	7	06-Aug	42.5	25-60	0		yes	rod	not indicated	200	NBRC108863|KCTC15144	"acetate, aspartic acid (aspartate), malate, pyruvic acid (pyruvate), valerate"		NA		Yes
other	2012	10.1099/ijs.0.036699-0	FR871426	38.6	aerobic	2.4	0.8	non-motile	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, indole production, oxidase positive, urease positive"	Chryseobacterium	viscerum	687B-08			25	15-30			yes	rod	not indicated	2934	CECT=7793|CCUG=60103	"citric acide (citrate), glucose, maltose, mannitol, mannose"		negative	Diseased fish	No
other	2013	doi: 10.1099/ijs.0.035873-0	FR874098		aerobic	1.3	1.3	not indicated	no		Ornithinimicrobium	murale	01-Gi-040	8	7.5-8.5	15-30	22.5	0	0	yes	cocci	not indicated	119	DSM22056|CCM7610	"3-hydroxybutyrate, acetate, alanine, cellobiose, fructose, galactose, lactate, malate, maltose, mannitol, proline, pyruvic acid (pyruvate), ribose, serine, sucrose, trehalose"		positive	indoor wall	Yes
other	2012	10.1099/ijs.0.036061-0	FR874223	Not indicated	facultative aerobe	Not indicated	Not indicated	non-motile	not indicated	"alkaline phosphatase, catalase positive, pyrazinamidase"	Corynebacterium	epidermidicanis	410	Not indicated	Not indicated	Not indicated	28	Not indicated	Not indicated	yes	ovoid/coccobacillus	not indicated	2194	DSM=45586|LMG=26322|CCUG=60915	"acetate, aspartic acid (aspartate), histidine, propionic acid (propionate), serine, trehalose"		positive	Dog - skin	No
"freshwater sediment (river, lake, pond"	2013	doi: 10.1099/ijs.0.036558-0	FR877778	62.1	aerobic	1.5	1.5	non-motile	not indicated	"catalase positive, nitrate reduction to nitrite"	Natronococcus	roseus	GG-1	9.25	08/11/14	41	30-50	25	15-30	yes	cocci	clump	104	CECT7984|IBRC-M10656T|JCM17958	"acetate, asparagine, fructose, glucose, glutamic acid, glycine, lactate, lactose, maltose, mannitol, propionic acid (propionate), pyruvic acid (pyruvate), serine, sorbitol, succinic acid (succinate), sucrose, threonine"		variable		Yes
soil	2010	10.1099/ijs.0.017236-0	GQ131577	48.9	aerobic	1.5-3	0.9-1.2	non-motile	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Dyadobacter	psychrophilus	BZ26	06-Aug	06-Aug	Oct-15	Jan-30	0-1	0-1	yes	ovoid/coccobacillus	chain	1640	DSM22270|CGMCC1.8951	"glucose, sucrose"		negative		No
soil	2010	10.1099/ijs.0.017236-0	GQ131577	48.9	aerobic	2.25	1.05	non-motile	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase, catalase positive, gelatinase, oxidase positive"	Dyadobacter	psychrophilus	BZ26		06-Aug	12.5	Jan-30		0	yes	rod	chain	1640	DSM=22270|CGMCC=1.8951	"glucose, sucrose"		negative		No
soil	2010	10.1099/ijs.0.018218-0	GQ131578	64.4	aerobic	0.8-1.1	0.4-0.6	"motile, but unspecified structure"	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Sphingopyxis	bauzanensis	BZ30	06-Aug	06-Aug	01-May	Jan-30	0-3	0-3	yes	rod	chain	2618	DSM22271|CGMCC1.8959|CIP110136	"glucose, malate, maltose"		negative		No
hypersaline environment	2012	10.1099/ijs.0.030379-0	GQ131677	54.2	aerobic	1.6	0.3	flagella	not indicated	"aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Neptuniibacter	halophilus	antisso-13	7.25	07/08/14	27.5	20-37	3%	0.5-6%	yes	not indicated	not indicated	1104	LMG=25378|BCRC=80079	"acetate, alanine, arginine, aspartic acid (aspartate), fructose, galactose, gamma-aminobutyric acid, glutamic acid, glycerol, glycine, histidine, lactate, leucine, myo-inositol, ornithine, putrescine, serine, sorbitol, succinic acid (succinate), threonine, urea, xylose"		negative		No
marine sediment	2011	10.1099/ijs.0.020503-0	GQ141052	56.5	facultative anaerobe	4	0.8	non-motile	not indicated	"aesculin hydrolysis, catalase positive, gelatinase"	Fibrella	aestuarina	BUZ 2T	7	06-Aug	27.5	Oct-40	0.25	<0.5	yes	rod	not indicated	184	DSM22563T|CCUG58136T	"adipate, arabinose, caprate, cellobiose, fructose, galactose, gluconic acid, glucose, glycogen, lactose, maltose, mannitol, mannose, melibiose, methyl beta-D-glucoside, N-acetylgulcosamine, phenylacetate, raffinose, ribose, salicin, sucrose, trehalose, xylose"		negative		No
other	2011	10.1099/ijs.0.020503-0	GQ141052	56.5	facultative anaerobe	4	0.8	non-motile		"acid phosphatase, alkaline phosphatase, alpha-galactosidase, catalase positive"	Fibrella	aestuarina	Fibrella aestuarina	7	06-Aug	27.5	Oct-40		0-.5		rod		184	DSM22563	"2-ketogluconate, arabinose, cellobiose, fructose, galactose, gelatin, gluconic acid, glucose, glycogen, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, ribose, salicin, sucrose, trehalose, xylose"		negative	tidal flat	Yes
marine sediment	2013	10.1099/ijs.0.020503-0	GQ141052	56.5	facultative anaerobe	4	0.8	non-motile	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase, catalase positive, gelatinase"	Fibrella	aestuarina	BUZ 2	7	6.0-8.0	27.5	Oct-40	0	0-0.5	yes	rod	clump	184	CCUG58136|DSM22563	"arabinose, cellobiose, fructose, galactose, glucose, glycogen, lactose, maltose, mannose, melibiose, N-acetylgulcosamine, raffinose, ribose, salicin, sucrose, trehalose, xylose"		negative		Yes
"freshwater (river, lake, pond)"	2012	10.1099/ijs.0.022814-0	GQ144413	35.9	aerobic	1.5-2.0	0.5-0.6	non-motile	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Flavobacterium	yonginense	HMD1001	Not indicated	7	20	15-30	0.50%	0-0.5%	yes	rod	not indicated	806	KCTC=22796|CECT=7594	"asparagine, aspartic acid (aspartate), cellobiose, dextrin, galactose, glucose, glutamic acid, glycogen, lactate, lactose, maltose, mannose, ornithine, proline, raffinose, succinic acid (succinate), sucrose, trehalose"		negative		No
"freshwater (river, lake, pond)"	2012	10.1099/ijs.0.022814-0	GQ148878	32.2	aerobic	1.4-1.5	0.7-0.8	non-motile	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Flavobacterium	myungsuense	HMD1033	7	07/08/14	20	4/25/2014	0.50%	0-2%	yes	rod	not indicated	806	KCTC=22825|CECT=7649	"acetate, inosine, maltose, ornithine, proline, succinic acid (succinate), thymidine, Tween 80"		negative		No
other	2013	10.1099/ijs.0.041145-0	GQ149086		facultative anaerobe	3.1	0.75	"motile, but unspecified structure"	not indicated	"aesculin hydrolysis, gelatinase"	Xenorhabdus	ishibashii	GDh7				37-42			yes	rod	clump	1690	DSM22670|CGMCC1.9166	"acetate, ethanol, glucosamine, malonic acid (malonate)"		negative	entomopathogenic nematode	Yes
human - mouth	2013	10.1099/ijs.0.041038-0	GQ149247	63	anaerobic	7.5	1.25	"motile, but unspecified structure"	not indicated	"acid phosphatase, gelatinase, H2S production"	Fretibacterium	fastidiosum	SGP1	6.5	06-Aug	37	25-42			yes	ovoid/coccobacillus	clump	458	DSM25557|JCM16858		FP929056	negative		No
hotspring	2011	10.1099/ijs.0.020834-0	GQ153549	42.6	facultative aerobe	4.6	0.6	"motile, but unspecified structure"	yes	"catalase positive, gelatinase, oxidase positive"	Anoxybacillus	eryuanensis	E-112	8	7.0-11.0	55	35-70	0.5	0-3	yes	rod	none	118	CCTCCAB209236|KCTC13720	"fructose, glucose, maltose, mannitol, mannose, sucrose, trehalose"		positive		Yes
hotspring	2011	10.1099/ijs.0.020834-0	GQ153549	42.6	facultative aerobe	4.6	0.6	"motile, but unspecified structure"	yes	"catalase positive, gelatinase, oxidase positive"	Anoxybacillus	eryuanensis	E-112T	8	07-Nov	55	35-70	0.5	<3	NA	rod	chain	118	CCTCCAB209236T|KCTC13720T	"fructose, glucose, maltose, mannitol, mannose, sucrose, trehalose"		positive		No
soil	2012	10.1099/ijs.0.035964-0	GQ161989	64.1	aerobic	1.2	0.7	flagella	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, oxidase positive"	Sphingomonas	Alpina	S8-3	7.5	06/10/14	Not indicated	1/25/2014	Not indicated	0-1%	yes	rod	not indicated	1558	DSM=22537|LMG=26055	"arabinose, glucose, malate, maltose, mannose"		negative		No
soil	2010	10.1099/ijs.0.018903-0	GQ161990	36.5	aerobic	1.9-2.2	0.5-0.6	non-motile	not indicated	"aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Pedobacter	bauzanensis	BZ42	07-Aug	07-Aug	20-25	May-25	0-3	0-3	yes	rod	chain	2592	DSM22554|CGMCC1.10187|CIP110134	"maltose, mannose, N-acetylgulcosamine, salicin, sucrose"		negative		No
seawater	2010	10.1099/ijs.0.016329-0	GQ181061	35.3	aerobic	1-2.3	0.4-0.5	gliding	not indicated	"aesculin hydrolysis, catalase positive, oxidase positive"	Winogradskyella	pacifica	KMM 6019	n/a	n/a	28	Apr-30	01-Mar	01-May	yes	rod	chain	1948	KCTC22997|LMG22568	"cellobiose, glucose, maltose, mannitol, sorbitol"		negative		No
plant associated	2011	10.1099/ijs.0.019125-0	GQ184344	70.91	aerobic				yes	catalase positive	Streptomyces	lacticiproducens	Streptomyces lacticiproducens							yes			35	CCTCCM208214	"arabinose, fructose, glucose, melibiose, xylose"		positive		Yes
plant associated	2011	10.1099/ijs.0.019125-0	GQ184344	70.91	aerobic			not indicated	yes	nitrate reduction to nitrite	Streptomyces	lacticiproducens	GIMN4.001T							no	cocci	chain	35	CCTCCM208214T|NRRLB-24800T	"arabinose, fructose, glucose, melibiose, myo-inositol, xylose"		positive		No
plant associated	2013	10.1099/ijs.0.019125-0	GQ184344	70.91	aerobic			not indicated	yes	"catalase positive, nitrate reduction to nitrite"	Streptomyces	lacticiproducens	GIMN4.001							yes	cocci	chain	35	CCTCCM208214|NRRLB-24800	"arabinose, fructose, glucose, melibiose, xylose"		positive		Yes
marine sediment	2011	10.1099/ijs.0.021972-0	GQ200200	55.2	facultative anaerobe	1.9	0.65	flagella	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, indole production, nitrate reduction to nitrite, oxidase positive, urease positive"	Cohaesibacter	marisflavi	DQHS21T	7.5	04-Sep	27.5	Oct-38	3	0.5-15		rod		762	CGMCC1.9157T|NCCB100300T	"arabinose, fructose, glucose, glycerol, malate, maltose, mannose, N-acetylgulcosamine, raffinose, sucrose, trisodium citrate"		negative		Yes
plant associated	2011	10.1099/ijs.0.019810-0	GQ200591	48.5	aerobic			flagella	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Agarivorans	gilvus	Agarivorans gilvus	8.5	6.5-9.5	30	Oct-45	3	.5-5		rod		493	NRRLB-59247	"arabinose, cellobiose, fructose, galactose, glucose, glycogen, lactose, maltose, mannitol, mannose, N-acetylgulcosamine, salicin, sucrose, xylose"		negative		Yes
plant associated	2011	10.1099/ijs.0.019810-0	GQ200591	48.5	aerobic			flagella	no	"aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Agarivorans	gilvus	WH0801T	8.4-8.6	6.5-9.5	28-32	Oct-45		3	yes	rod	not indicated	493	NRRLB-59247T|CGMCC1.10131T	"arabinose, galactose, glycogen, lactose, mannose, salicin, xylose"		negative		No
soil	2010	10.1099/ijs.0.016790-0	GQ214052	49.6	aerobic	1.2-3.5	0.4-0.6	flagella	yes	"catalase positive, oxidase positive"	Cohnella	luojiensis	HY-22R	7	06-Aug	30	Oct-37	0-1	0-1	yes	rod	chain	1605	CCTCCAB208254|NRRLB-59213	"arabinose, fucose, glucose, maltose, mannitol, mannose, melibiose, ribose, sucrose"		positive		No
soil	2010	10.1099/ijs.0.016790-0	GQ214052	49.6	aerobic	2.35	0.5	flagella	yes	"aesculin hydrolysis, alpha-galactosidase, catalase positive, oxidase positive"	Cohnella	luojiensis	HY-22R	7	06-Aug	30	Oct-37		0-1	NA	rod	not indicated	1605	CCTCC=AB208254|NRRL=B-59213	"arabinose, fucose, glucose, maltose, mannitol, mannose, melibiose, ribose, salicin, sucrose"		positive		No
soil	2010	10.1099/ijs.0.017178-0	GQ227413	61.9	aerobic	1.3-1.9	0.8-1.0	non-motile	not indicated	"aesculin hydrolysis, catalase positive"	Arthrobacter	alpinus	S6-3	7-7.2	06-Sep	20-25	Jan-25	0-5	0-5	yes	ovoid/coccobacillus	chain	2149	DSM22274|CGMCC1.8950	"arabinose, glucose, lactose, maltose, mannitol, mannose"		positive	alpine soil	No
soil	2012	10.1099/ijs.0.027409-0	GQ231514	29.8	facultative anaerobe	2.3-4.7	1.1-1.6	flagella	yes	H2S production	Tepidibacter	mesophilus	B1	7.3	6.0-8.9	28-32	Oct-40	1%	Up to 9%	yes	rod	not indicated	66	CGMCC=1.5148|JCM=16806	"alanine, fructose, galactose, glucose, glycine, maltose, proline, rhamnose, ribose, trehalose, xylose"		positive		No
other	2011	10.1099/ijs.0.017780-0	GQ241320	64.7	aerobic	1.45	0.35	"motile, but unspecified structure"	no	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, gelatinase, nitrate reduction to nitrite"	Stenotrophomonas	daejeonensis	MJ03T	7.3	6.0-10.0	300	20-42						598	KCTC22451T|JCM16244T	"3-hydroxybutyrate, acetate, alanine, alanine, arabinose, citric acide (citrate), fucose, glucose, histidine, maltose, mannitol, mannose, N-acetylgulcosamine, proline, propionic acid (propionate), rhamnose, ribose, serine, sorbitol, valerate"		negative	sewage sample	No
soil	2010	10.1099/ijs.0.018887-0	GQ241321	66.2	facultative anaerobe	1.4-1.7	0.3-0.5	"motile, but unspecified structure"	no	"catalase positive, oxidase positive"	Castellaniella	daejeonensis	MJ06	6.5-7	05-Sep	30	25-42	0	0	yes	rod	chain	2056	KCTC22454|JCM16240	"3-hydroxybenzoate, 3-hydroxybenzoate, 4-hydroxbenzoate, adipate, arabinose, glucose, malonic acid (malonate), mannitol, mannose, phenylacetate, rhamnose, ribose, serine, sorbitol"		negative	oil-contaminared soil	No
soil	2010	10.1099/ijs.0.019653-0	GQ241324	48.5	aerobic	1.9-2.4	0.6-0.7	non-motile	not indicated	"catalase positive, oxidase positive"	Dyadobacter	soli	MJ20	6.5-7	05-Aug	25	15-30	0	0	yes	rod	chain	2577	KCTC22481|JCM16232	"2-ketogluconate, arabinose, glucose, malate, maltose, mannose, melibiose, N-acetylgulcosamine, phenylacetate, rhamnose, sucrose"		negative		No
plant associated	2013	10.1099/ijs.0.043455-0	GQ241687	65	aerobic	0.7	0.7	non-motile	no	"acid phosphatase, aesculin hydrolysis, alpha-galactosidase, gelatinase, urease positive"	Rudaeicoccus	suwonensis	HOR6-4	6.5	04-Sep	28	Oct-37	0.5	0-5	yes	cocci	clump	1291	KACC12637|DSM19560	"3-hydroxybutyrate, acetate, alanine, alanine, glucose, histidine, maltose, mannose, melibiose, N-acetylgulcosamine, proline, propionic acid (propionate), ribose, salicin, serine, sucrose, valerate"		positive		Yes
seawater	2011	10.1099/ijs.0.019828-0	GQ243422	58.3	aerobic	4	0.75	non-motile		"aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Roseovarius	marinus	Roseovarius marinus	7.5	4.5-8.0	30	Apr-34	2.5	01-Oct		ovoid/coccobacillus		427	KCTC22805	"arabinose, cellobiose, fructose, galactose, glucose, lactose, maltose, mannitol, pyruvic acid (pyruvate), rhamnose, salicin, sorbitol, sucrose, trehalose, xylose"		negative		Yes
seawater	2012	10.1099/ijs.0.032995-0	GQ245918	50.2	facultative anaerobe	1.7	0.5	flagella	no	"acid phosphatase, alkaline phosphatase, catalase positive, nitrate reduction to nitrite, oxidase positive"	Shewanella	dokdonensis	UDC329	7	5-8.5	27.5	Oct-40	1%	0-7%	yes	rod	not indicated	1636	KCTC=22898|DSM=23626	"acetate, caprate, galactose, glucose, malate, pyruvic acid (pyruvate)"		negative		No
marine sediment	2011	10.1099/ijs.0.018846-0	GQ245972	38.6		3.1	1.35			"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase, gelatinase, oxidase positive"	Flavobacterium	beibuense	Flavobacterium beibuense	6.5	06-Aug	28	Apr-41	3	0-9		rod		205	LMG25233	"5-ketoguconate, cellobiose, fructose, gluconic acid, glycogen, maltose, mannose, rhamnose, salicin, sorbitol, sucrose, trehalose, xylitol"		negative		Yes
marine sediment	2011	10.1099/ijs.0.018846-0	GQ245972	38.6	NA	3.1	1.35	non-motile	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase, gelatinase, oxidase positive"	Flavobacterium	beibuense	F44-8	6.5	06-Aug	28	Apr-41	3	0-9	yes	rod	clump	205	CCTCCAB209067|LMG25233|MCCC1A02877	"cellobiose, fructose, glycogen, maltose, mannose, rhamnose, salicin, sorbitol, sucrose, trehalose, xylitol"		negative		Yes
marine sediment	2011	10.1099/ijs.0.018846-0	GQ245972	38.6	NA	3.1	1.35	gliding	not indicated	"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, alpha-galactosidase, gelatinase"	Flavobacterium	beibuense	F44-8T	6.5	06-Aug	28	Apr-41	3	<9	NA	rod	not indicated	205	CCTCCAB209067T|LMG25233T|MCCC1A02877T	"5-ketoguconate, cellobiose, citric acide (citrate), fructose, gluconic acid, glycogen, maltose, mannose, rhamnose, salicin, sorbitol, sucrose, trehalose, xylitol"		negative		No
soil	2011	10.1099/ijs.0.019612-0	GQ245981	65.2	aerobic	1.3	0.7	non-motile	no	"acid phosphatase, alkaline phosphatase, catalase positive, gelatinase, oxidase positive, urease positive"	Comamonas	zonglianii	Comamonas zonglianii	7.5		31		0.5			rod		255	CCTCCAB209170	"acetate, adipate, alanine, alaninamide, alanine, alpha-ketovaleric acid, asparagine, aspartic acid (aspartate), caprate, citric acide (citrate), galactonic acid, gluconic acid, glutamic acid, glycerol, lactate, leucine, methyl pyruvate, phenylalanine, proline, propionic acid (propionate), quinic acid, succinic acid (succinate), Tween 40, Tween 80, urocanic acid"		negative		Yes
soil	2011	10.1099/ijs.0.019612-0	GQ245981	65.2	aerobic	1.2	0.7	non-motile	no	"acid phosphatase, alkaline phosphatase, catalase positive, gelatinase, oxidase positive, urease positive"	Comamonas	zonglianii	BF-3T	7.5	07-Aug	31	25-37	0.5	<1	no	rod	not indicated	255	CCTCCAB209170T|DSM22523T	"acetate, adipate, alanine, alanine, asparagine, aspartic acid (aspartate), caprate, citric acide (citrate), galactonic acid, gluconic acid, glutamic acid, glycerol, leucine, methyl pyruvate, phenylalanine, proline, succinic acid (succinate), Tween 40, Tween 80"		negative		No
other	2011	10.1099/ijs.0.020453-0	GQ246692	52	aerobic	2.2	1.05	gliding		"acid phosphatase, aesculin hydrolysis, alkaline phosphatase, catalase positive, oxidase positive"	Larkinella	bovis	Larkinella bovis	7	6.0-7.0	30	Oct-35		0-1		rod		30	KACC14040	"arabinose, glucose, glycogen, maltose, mannitol, melibiose, N-acetylgulcosamine, salicin, sucrose, Tween 20"		negative	fermented bovine products	Yes
other	2011	10.1099/ijs.0.020453-0	GQ246692	52	aerobic	2.2	1.05	gliding	not indicated	"acid phosphatase, alkaline phosphatase, catalase positive, oxidase positive"	Larkinella	bovis	M2T2B15	7	6.0-7.0	30	Oct-35		0-1	yes	rod	not indicated	30	KACC14040|NBRC106324	"arabinose, glucose, glycogen, maltose, mannitol, melibiose, N-acetylgulcosamine, salicin, sucrose"		negative	bovine products	Yes
seawater	2010	10.1099/ijs.0.018630-0	GQ246809	61.2	anaerobic	2.7	0.8	flagella	no	aesculin hydrolysis	Vogesella	mureinivorans	389	06-Jul	06-Sep	20-30	May-37	0.1	0-1	yes	rod	chain	2467	DSM21247|LMG25302	"acetate, alanine, alanine, asparagine, aspartic acid (aspartate), formic acid, fructose, fucose, gluconic acid, glucose, glutamic acid, glycerol, histidine, lactate, leucine, mannitol, methyl pyruvate, N-acetylgulcosamine, phenethylamine, proline, propionic acid (propionate), succinic acid (succinate)"		negative		Yes
